"OC","Fecha","Origen","Cantidad","Costo Distribuidor","Costo Transporte","Costo Por Unidad","Stock Actual","Costo Total","Pago a Distribuidor","Deuda","Column_L","Distribuidores","Costo total","Abonos","Pendiente"
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,
,,,,,,"0",,"0",,,,,,,