concepto,destino,fecha,gasto,observaciones,origen,pesos,tc
gasto franco werito,NA,2025-08-18,2724,,Gasto Flete Sur,49985.4,18.35
gasolina brayan,NA,2025-08-18,136,,Gasto Flete Sur,2495.6,18.35
servicio nissan frontier,NA,2025-08-18,321,,Gasto Flete Sur,5890.35,18.35
renta equipo corte,NA,2025-08-18,215,,Gasto Flete Sur,3945.25,18.35
cfe gaviota,NA,2025-08-18,126,,Gasto Flete Sur,2312.1,18.35
placas veracruz,NA,2025-08-18,299,,Gasto Flete Sur,5486.65,18.35
celular werito,NA,2025-08-20,1089,,Gasto Flete Sur,19983.15,18.35
fierros chavis,NA,2025-08-20,13400,,Gasto Flete Sur,0,0
equipos gallos,NA,2025-08-22,819,,Gasto Flete Sur,14987.7,18.3
gastos franco,NA,2025-08-22,273,,Gasto Flete Sur,4995.9,18.3
gastos flete#423 gaviota,NA,2025-08-23,16052,,Gasto Flete Sur,304988,19
"brinco salsa,jaiba#423",NA,2025-08-23,25000,,Gasto Flete Sur,0,0
gastos jr,NA,2025-08-23,1089,,Gasto Flete Sur,19928.7,18.3
factura playa azul #50,NA,2025-08-25,874,,Gasto Flete Sur,15994.2,18.3
pago fito (werito),NA,2025-08-25,437,,Gasto Flete Sur,7997.1,18.3
gasolina brayan,NA,2025-08-25,136,,Gasto Flete Sur,2488.8,18.3
material pistones (werito),NA,2025-08-26,382,,Gasto Flete Sur,6990.6,18.3
pago vuelta playa azul#50,NA,2025-08-28,3835,,Gasto Flete Sur,70180.5,18.3
gastos franco (werito),NA,2025-08-28,81,,Gasto Flete Sur,1482.3,18.3
cel jr (werito),NA,2025-08-28,1366,,Gasto Flete Sur,24997.8,18.3
2 cuentas radio (werito),NA,2025-08-28,273,,Gasto Flete Sur,4995.9,18.3
deposito material pistones (werito),NA,2025-08-30,2465,,Gasto Flete Sur,44986.25,18.25
gastos flete#487 gabiota,NA,2025-08-30,17368,,Gasto Flete Sur,329992,19
"brinco salsa,jaiba#487",NA,2025-08-30,25000,,Gasto Flete Sur,0,0
RENTA LIC SEPTIEMBRE,NA,2025-09-01,50000,,Gasto Flete Sur,0,0
"RENTA SIERRA ALPHA,SANTI",NA,2025-09-01,13223,,Gasto Flete Sur,239997.45,18.15
CAJA TRAMITES USA SEPTIEMBRE,NA,2025-09-01,2500,,Gasto Flete Sur,0,0
"RENTA GUARDIA SEPTIEMBRE (JR,CHAVIS)",NA,2025-09-01,2500,,Gasto Flete Sur,0,0
gasolina brayan,NA,2025-09-01,138,,Gasto Flete Sur,2497.8,18.1
mes gaviota (werito),NA,2025-09-01,2209,,Gasto Flete Sur,39982.9,18.1
renta bodega atongo,NA,2025-09-02,3591,,Gasto Flete Sur,64997.1,18.1
renta bodega gabiota (werito),NA,2025-09-02,4000,,Gasto Flete Sur,72400,18.1
material hector,NA,2025-09-05,848,,Gasto Flete Sur,15348.8,18.1
gastos flete gaviota#513,NA,2025-09-06,18333,,Gasto Flete Sur,329994,18
"brincos salsa,jaiba #513",NA,2025-09-06,25000,,Gasto Flete Sur,0,0
reparacion camion (werito),NA,2025-09-06,2876,,Gasto Flete Sur,51768,18
renta oficina atongo (werito),NA,2025-09-06,583,,Gasto Flete Sur,10494,18
factura playa azul (werito),NA,2025-09-08,888,,Gasto Flete Sur,15984,18
facura frontier (werito),NA,2025-09-09,250,,Gasto Flete Sur,4500,18
placas y tarjeta ram (werito),NA,2025-09-09,2083,,Gasto Flete Sur,37494,18
flete tocallo 500x44,Profit,2025-09-10,22000,,Gasto Flete Sur,0,0
pago carlos 2 vueltas playa azul (12-50),NA,2025-09-12,2000,,Gasto Flete Sur,0,0
gasolina franco,NA,2025-09-12,111,,Gasto Flete Sur,1998,18
pago werito vuelta playa #232,NA,2025-09-12,3888,,Gasto Flete Sur,69984,18
internet atongo y gaviota (werito),NA,2025-09-13,312,,Gasto Flete Sur,5616,18
deposito werito,NA,2025-09-13,555,,Gasto Flete Sur,9990,18
gasolina brayan,NA,2025-09-16,138,,Gasto Flete Sur,2484,18
remolque (werito),NA,2025-09-16,1638,,Gasto Flete Sur,29484,18
gastos franco,NA,2025-09-16,2777,,Gasto Flete Sur,49986,18
brinco 4 cortas playa azul,NA,2025-09-16,600,,Gasto Flete Sur,0,0
winche rebanada (werito),NA,2025-09-19,1658,,Gasto Flete Sur,29844,18
liquidacion rebanada (werito),NA,2025-09-19,2927,,Gasto Flete Sur,52686,18
pintura camion 6x6 (werito),NA,2025-09-19,1111,,Gasto Flete Sur,19998,18
pistones  (werito),NA,2025-09-19,2006,,Gasto Flete Sur,36108,18
gastos carlos vueltas playa roja-azul (papel dany1),NA,2025-09-19,1000,,Gasto Flete Sur,0,0
llantas mercedez (werito),NA,2025-09-20,833,,Gasto Flete Sur,14994,18
publicacion montacargas (werito),NA,2025-09-20,500,,Gasto Flete Sur,9000,18
bateria y amortiguadores ram (werito),NA,2025-09-20,650,,Gasto Flete Sur,11700,18
reposision gastos werito,NA,2025-09-20,722,,Gasto Flete Sur,12996,18
vuelos muchachos mexico,NA,2025-09-20,555,,Gasto Flete Sur,9990,18
reparacion ram dany (werito),NA,2025-09-20,527,,Gasto Flete Sur,9486,18
gastos boletos ranchero y gastos tarimas werito,NA,2025-09-23,3660,,Gasto Flete Sur,65880,18
gasolina brayan,NA,2025-09-23,138,,Gasto Flete Sur,2484,18
gastos muchachos mexico (werito),NA,2025-09-23,388,,Gasto Flete Sur,6984,18
gastos gallos (470),NA,2025-09-25,833,,Gasto Flete Sur,14994,18
pago fito (werito),NA,2025-09-25,444,,Gasto Flete Sur,7992,18
cargadores y tiros (werito),NA,2025-09-27,1288,,Gasto Flete Sur,23184,18
llevada camion gaviota (werito),NA,2025-09-27,2777,,Gasto Flete Sur,49986,18
gasolina brayan,NA,2025-09-30,138,,Gasto Flete Sur,2484,18
"renta,porton,vuelos y gastos panaderia",NA,2025-09-30,9800,,Gasto Flete Sur,0,0
RENTA LIC OCTUBRE,NA,2025-10-01,50000,,Gasto Flete Sur,0,0
"RENTA ALPHA,SANTI",NA,2025-10-01,13333,,Gasto Flete Sur,239994,18
gastos mes gaviota,NA,2025-10-01,2222,,Gasto Flete Sur,39996,18
renta bodega gaviota,NA,2025-10-01,4022,,Gasto Flete Sur,72396,18
"RENTA GUARDIA OCTUBRE (JR,CHAVIS)",NA,2025-10-02,3000,,Gasto Flete Sur,0,0
GASTOS CAJA USA OCTUBRE,NA,2025-10-02,2500,,Gasto Flete Sur,0,0
renta bodega atongo (werito),NA,2025-10-02,3611,,Gasto Flete Sur,64998,18
renta bodega allende (470),NA,2025-10-02,1666,,Gasto Flete Sur,29988,18
gastos paquteria #42 a/x,NA,2025-10-04,2061,,Gasto Flete Sur,37098,18
gastos flete gaviota#688,NA,2025-10-04,16111,,Gasto Flete Sur,289998,18
"brincos salsa,jaiba #688",NA,2025-10-04,25000,,Gasto Flete Sur,0,0
gasolina brayan,NA,2025-10-06,139,,Gasto Flete Sur,2488.1,17.9
boleto avion compa,NA,2025-10-07,949,,Gasto Flete Sur,16987.1,17.9
gastos compa guate,NA,2025-10-07,1000,,Gasto Flete Sur,0,0
Carpinteria cruces (werito),NA,2025-10-11,7262,,Gasto Flete Sur,129989.8,17.9
llevada grua gaviota (werito),NA,2025-10-11,2793,,Gasto Flete Sur,49994.7,17.9
factura playa (werito),NA,2025-10-11,1787,,Gasto Flete Sur,31987.3,17.9
gps camion (werito),NA,2025-10-11,418,,Gasto Flete Sur,7482.2,17.9
renta oficina  (a/x),NA,2025-10-13,6703,,Gasto Flete Sur,119983.7,17.9
pago vuelta playa azul (werito),NA,2025-10-13,3910,,Gasto Flete Sur,69989,17.9
gasolina brayan,NA,2025-10-13,139,,Gasto Flete Sur,2488.1,17.9
gasolina camion hector,NA,2025-10-13,167,,Gasto Flete Sur,2989.3,17.9
llanta panadera (werito),NA,2025-10-14,64,,Gasto Flete Sur,1145.6,17.9
pila montacargas (werito),NA,2025-10-14,178,,Gasto Flete Sur,3186.2,17.9
mtto correctivo np300 (werito),NA,2025-10-14,751,,Gasto Flete Sur,13442.9,17.9
placas np300 chiapas (werito),NA,2025-10-14,614,,Gasto Flete Sur,10990.6,17.9
camaras cabo (hector),NA,2025-10-16,2709,,Gasto Flete Sur,48491.1,17.9
vuelta llevadas cajas a laredo (werito),NA,2025-10-18,1675,,Gasto Flete Sur,29982.5,17.9
traida trocas playa azul (werito),NA,2025-10-18,1117,,Gasto Flete Sur,19994.3,17.9
 revisada trocas gps (werito),NA,2025-10-18,446,,Gasto Flete Sur,7983.4,17.9
renta bodega atongo (werito),NA,2025-10-18,586,,Gasto Flete Sur,10489.4,17.9
